CODID,SMILE,bgs
4113573,BrC(=C\c1ccc2OCOc2c1)/C(=O)OC,2.34
1505593,s1c(c(c(c1C(=O)C)C)C(C)=O)NCC,1.93
4507998,C(=O)(CCC(=O)O)O,5.16
4501021,c1cc(cc2c1ccc(=O)o2)OCC=C,2.42
7115598,O=C(Nc1ncccc1)Nc1ccccc1N(=O)=O,1.88
1542725,Br[C@@H]1[C@H](N(S(=O)(=O)c2ccc(cc2)C)C(=O)OC1)c1ccccc1,4.13
7151616,c1(c(cc(cc1F)C#N)F)C=O,2.32
1507503,O=C(c1ccccc1)CNC(=O)c1ccccc1,2.91
2207690,o1c(nnc1c1ccncc1)c1ccncc1.O=C(O)CC(=O)O,2.89
2204873,N(=C\c1c(O)c(OC)ccc1)/Nc1c(N(=O)=O)cc(N(=O)=O)cc1.N(C=O)(C)C,1.67
4107245,[C@]1(C(=O)OC(C)(C)C)(c2ccccc2)[C@@H](C)[C@]1(C)COC(=O)c1ccc(Br)cc1,3.41
4507670,O1CC[NH2+]CC1.O=C(O)/C=C\C(=O)[O-],2.94
4506074,n1cc(ccc1)C(=O)Nc1ncccc1.C(=O)(O)CCC(=O)O,3.04
2220883,O(c1ccccc1/C=N/Nc1ccc(N(=O)=O)cc1N(=O)=O)C,1.56
1502527,Clc1cc2[C@](c3cccn3C)(C(=O)N(c2cc1)C)O,2.83
2235554,OC(=O)c1c[nH+]ccc1.N(=O)(=O)[O-],1.72
7218861,[C@H]12[C@H]([C@H]([C@H](c3cnnn3C[C@H]3[C@H]([C@H]4[C@@H](O3)OC(C)(C)O4)O)O1)OCc1ccccc1)OC(C)(C)O2,3.93
7150935,O1C(O[C@@H]2CN(C[C@]([C@@H]12)(CO)O)Cc1ccccc1)(C)C,3.49
2226673,c12c(c(=O)c(co2)C)cccc1,2.97
1505069,C1Oc2c(O1)cc1c(c2)OCO1,2.7
7104602,O=C1C2(C3N(c4ccccc4c4ccccc34)CC2)C(=O)c2c1cccc2,1.17
1518658,O=C1O[C@@H]2[C@]([C@@H](N1)c1ccccc1)(CCC2)C(=O)OCC,4.37
4064956,[Pt]1([P](CC[P]1(C(C)C)C(C)C)(C(C)C)C(C)C)(SCC)C(=O)C,2.89
2213542,O=S(=O)(c1ccc(cc1)C)C,4.42
7100209,B1(Oc2c(cccc2)O1)c1cc(c(B2Oc3c(cccc3)O2)cc1CCCCCC)CCCCCC,3.2
2238201,O=C1N/C(C(=C1C#N)C)=C\c1ccc(N(=O)=O)cc1,1.97
4125047,C1/C(=C\[Si](C)(C)C)[C@@H]([C@@H]([C@@H]2[C@@H](CC=C2C)C(=C)C)O1)CO,4.25
2210062,c1(cccc([nH+]1)N)N.C(=O)(/C=C/C(=O)[O-])O,2.53
1506886,OC(=O)/C=C/C(=O)O.N1([C@@H]2[C@@H](N3CCCC3)CCCC2)CCCC1,0.335
4030397,S(=O)(=O)(c1c2c(cccc2)ccc1Oc1ncccc1)c1ccc(cc1)C,3.16
7153365,C1(=O)OC2(C)CN(C(=O)C(F)(F)F)CCc3c4ccccc4n1c23,3.17
2237581,C(#N)c1c(c(c(C#N)c2c1NCCN2)F)F,1.83
4501018,o1c2cc(ccc2c(cc1=O)C)C,2.9
7154022,s1c(c(c(c1N(C)C)C(=O)c1ccccc1)C(=O)OC)C(=O)OC,2.1
2004501,OC(=O)c1cocc1,3.72
1504340,c1n(cc[n+]1C)CC#CCC.N#C[N-]C#N,3.7
1513394,O1[C@@H](C)C(=O)[C@H]([C@@](O)(C1=O)C)C,3.83
2010425,O=C(c1ccccc1F)Oc1ccccc1,3.73
4021054,n1c(c(nc(c1c1ccc2[C@@H]3C([C@H](Cc2n1)C3)(C)C)c1ccc2[C@@H]3C([C@H](Cc2n1)C3)(C)C)c1ccc2[C@@H]3C([C@H](Cc2n1)C3)(C)C)c1ccc2[C@@H]3C([C@H](Cc2n1)C3)(C)C,2.81
2240986,[nH]1c(c(nc1N=N#N)C#N)C#N,2.89
2218675,c1(c2c(ccc1[C@@H]1[C@@H]3[C@H](CO1)[C@@H](c1ccc4c(c1OC)OCO4)OC3)OCO2)OC,3.62
7218172,O1C[C@@H](O)[C@H]2OC[C@@H]([C@@H]12)C(=O)O,4.63
7201830,[nH]1ccnc1NC(=O)Nc1ccccc1,3.49
4024499,S1[C@H](C(=O)NC(=O)NCc2ccccc2)[C@@H](c2ccc(Cl)cc2)C(=C1N)C#N.S1[C@@H](C(=O)NC(=O)NCc2ccccc2)[C@H](c2ccc(Cl)cc2)C(=C1N)C#N,2.81
1520344,[C@@H]1([C@@H]([C@H]([C@H]([C@@H](COC(=O)C)O1)OC(=O)C)OC(=O)C)OC(=O)C)Sc1ccccc1,3.75
4022845,Brc1cccc2C(C(=O)Nc12)(c1ccccc1)C(=O)N(OC)C,3.66
7200201,O=N(=O)c1ccc(n2nnc(c2)c2ccccc2)cc1,2.13
2206802,Cc1ccsc1C(=O)C(=O)c1sccc1C,1.73
2101848,O=N(=O)N=N([O-])=O.[NH2+]=C(N=C(N)N)N,3.1
4020348,Fc1c(F)c(F)c(F)c2c1c1ccc3ccccc3c1c1c3ccccc3ccc21,2.54
7152383,O1C(O[C@@H]2[C@@H]1[C@@H](O)[C@@H](NC(=O)OC(C)(C)C)CCC2=O)(C)C,3.93
1529856,Brc1ccc(n2c(nc(c3ccccc3)c2C(=O)c2ccccc2)c2ccc(cc2)C)cc1,2.42
1502578,O1[C@]23[C@H](O)[C@@H](CC[C@@H]2[C@@H](CC[C@@H]3[C@H](C1=O)C)C)C,5.06
2014035,O=C(N[C@@H](Cc1ccccc1)C(=O)[O-])[C@@H]([NH3+])[C@H](CC)C.O.O,4.09
4022057,n1c(cccc1)C#CC#C,3.1
2015393,n1c(c2ccc(C)cc2)cc2ncc3C(=O)CC(C)(C)Cc3n12.O,2.44
1517981,O=C(N[C@@H](c1cc2ccccc2cc1)C)c1nc(ccc1)C(=O)OCc1ccccc1,2.61
1506854,N(c1c(c(c(Nc2ccccc2)c(c1C)C)C)C)c1ccccc1,3.25
2105068,O.N(/C=C1\C(=O)C=C(OC)C=C1OC)c1c(cccc1)CO,2.05
1505567,O=C(c1ccccc1)C(C)(C(=O)C)C(=O)C,2.91
2011862,OC[C@H]1OCO[C@@H]([C@@H](O)[C@@H]1O)CO,5.55
4062299,c12ccc(N3CCCCC3)c3cccc(c13)C(=O)N(C2=O)C[c]12[cH]3[cH]4[cH]5[cH]1[Fe]16782345C[cH]2[cH]1[cH]6[cH]7[cH]82,1.24
1508843,N1(c2ccccc2)[C@]2(C)[C@@H](C(=O)OC)C[C@](CC)([C@H]1CC)C(=C2C)C,3.35
4100977,O=C(N1c2ccccc2C=Cc2ccccc12)N.OC(=O)c1c(OC(=O)C)cccc1,2.97
4506072,n1cc(ccc1)C(=O)Nc1ncccc1.C(=O)(O)CCCCCCCCC(=O)O,3.18
4020200,Brc1ccc(NN2C(=O)C=CC2=O)cc1,1.43
7118808,O(c1cccc2c1N1[C@]34N(CC[C@]23O)C[C@H]([C@@H](CC1=O)[C@H]4C(=O)OC)[C@H](O)C)C.O(c1cccc2c1N1[C@@]34N(CC[C@@]23O)C[C@@H]([C@H](CC1=O)[C@@H]4C(=O)OC)[C@@H](O)C)C,3.4
1517607,n12CCCC(c1c(c(c2)C(=O)OC)c1ccccc1N(=O)=O)(C=C)CCC(=O)OC(C)(C)C,2.06
4336203,ClCc1n[nH]c([n+]1CC(C)C)CCl.[Cl-],2.89
7106429,O[C@H](C#CC#C[C@@H](O)C)C,4.0
2203550,O=C(O)CNC=O,4.9
4027769,C1(=C(CC(=C1c1ccc(cc1)C)c1ccccc1)c1ccccc1)c1cn(c2ccccc12)C,2.47
2001649,OC(=O)C[C@H](C(=O)O)Br,3.78
2234046,O=C(OC)C1(Nc2ccc(cc2C(=C1)C(=O)OC)C(=O)C)C,2.48
1504129,O=C1O[C@@H]2[C@@H](C(=C[C@H]1C=C2C(=O)OC)C(=O)OCC)c1ccc(OC)cc1.O=C1O[C@H]2[C@H](C(=C[C@@H]1C=C2C(=O)OC)C(=O)OCC)c1ccc(OC)cc1,2.78
4020408,S(SC(C)C)C(n1nnc2c1cccc2)n1nnc2c1cccc2,3.09
7154822,c12ccccc1C1(CC1)C(=N\S(=O)(=O)OCC)\N2,3.34
7054007,Oc1ccccc1/N=C/c1ccc(N(=O)=O)cc1,1.78
2240629,C(=O)(C(=O)O)[O-].C(=O)(O)C(=O)O.C[NH2+]C.C(=O)(C(=O)O)[O-].C[NH2+]C,2.45
1543130,C1(=O)C(=O)N(CCC)c2ccccc12,1.59
4078685,C12C(=C(OC=C2)C)O[Zn]23([O]=1)[O]=C1C=COC(=C1[O]2[Zn]12([O]=C4C=COC(=C4O1)C)[O]=C1C(=C(OC=C1)C)[O]32)C.C(Cl)Cl.C(Cl)Cl,2.34
4076972,[Sn]12(Cl)(Cl)(c3c(cccc3C[O]2C)C[O]1C)c1ccccc1,4.13
2105027,COC(=O)C(=O)OC,3.2
2203664,ClCc1cccc(n1)c1cccc(n1)CCl,3.19
2015741,c1(ccc(cc1)n1nc(C)cc1N)C(=O)OCC,2.47
7052954,C1(=O)[C@H](CCCCCCCCCC1)[C@@H](c1ccc(cc1)C)O,3.79
2203064,O[C@@H]([C@H]1C(=C)C1)C(=O)OC.O[C@H]([C@@H]1C(=C)C1)C(=O)OC,4.82
2236892,C1(=c2ccc(=C(c3ccc(OC(=O)C)cc3)c3nc(=C(c4ccc(C(=c5ccc1n5)c1ccc(OC(=O)C)cc1)[nH]4)c1ccc(OC(=O)C)cc1)cc3)[nH]2)c1ccc(cc1)OC(=O)C,1.61
4031932,C(=O)(CCl)N1CC2CN(CC(C1)C2(OCC)OCC)C(=O)CCl,4.52
7225632,C(=O)([C@@H]([C@H](C(=O)O)O)O)O.C(=O)(C[NH3+])[O-].C(=O)([C@H]([C@@H](C(=O)O)O)O)O.C(=O)(C[NH3+])[O-],3.69
4342493,Oc1ccccc1C(=O)NCCNC(=O)c1ccccc1O,3.06
4119494,BrC1=C[C@@]2(OC(=O)CC2)C(=O)c2ccccc12,2.48
2212248,Ic1c(I)c(I)ccc1,2.58
1507830,Brc1ccc(/C(=C\C#Cc2ccccc2)C(=O)NS(=O)(=O)c2ccc(cc2)C)cc1,2.83
7155053,S(=O)(=O)(n1c2ccccc2c(c1[C@H](N=N#N)c1ccc(cc1)C)C)c1ccc(cc1)C,3.13
4023416,c1(cc(ccc1)[C@@H]([C@H]1COC(=O)C1)O)N(=O)=O,2.62
2236257,O(c1ccc(cc1)C(=O)N/N=C/c1c(OC)cc(OC)cc1C(=O)OC)C,2.68
4062954,O=N(=O)CC1(C=C(OC(=C1)c1oc(cc1)C)c1oc(cc1)C)c1ccccc1,1.77
1504872,[Si](O[C@H]1CC[C@@]23[C@H]4OC(O[C@H]4[C@@H](C=C2)C[C@H]3C1)(C)C)(C(C)(C)C)(C)C,5.0
7219800,C(=N\c1cc(c(cc1)F)F)/c1c(c(ccc1)F)F,2.65
2236535,Brc1ccc2c(c1)C[C@@H](Br)[C@H]2O.Brc1ccc2c(c1)C[C@H](Br)[C@@H]2O,3.82
4062529,[Cr]123456(C#[O])(C#[O])([CH]7=[CH]1C2CCC7)[cH]1[cH]6[cH]5[cH]4[cH]31,2.71
7000349,C(N=N#N)(=[NH2+])N.O=N([O-])=NN(=O)=O.O,3.25
7151520,[Fe]12345678([cH]9[cH]1[cH]2[cH]3[cH]49)[c]1([cH]8[cH]7[cH]6[c]51[C@H](C)N(C)C)[c]12[cH]3[Fe]4567891([cH]1[cH]4[cH]5[cH]6[cH]71)[c]2([cH]8[cH]39)[C@H](C)N(C)C.[Fe]12345678([cH]9[cH]1[cH]2[cH]3[cH]49)[c]1([cH]8[cH]7[cH]6[c]51[C@@H](C)N(C)C)[c]12[cH]3[Fe]4567891([cH]1[cH]4[cH]5[cH]6[cH]71)[c]2([cH]8[cH]39)[C@@H](C)N(C)C,2.67
2001558,NC(=O)NNc1ccccc1,3.51
1506635,s1c2c(sc3c2sc(C)c3)c(c1C)C1=C(c2c3sc4c(sc(c4)C)c3sc2C)C(F)(C(F)(F)C1(F)F)F,1.95
7008135,n1ccccc1c1ccc(nn1)c1ncccc1,2.39
2000830,O=C1C=C/C(=C/C(=C(/O)C)/C(=O)C)O1,2.27
4084666,[CH2]1=[C]2([C]3([Ru]45612([CH]1=[CH]4c2c([CH]6=[CH]5c4c1cccc4)cccc2)(C#[O])[CH2]=3)C)C,2.93
2005425,[Br-].[NH2+](C(C)C)C(C)C,4.88
4021101,P1([C@]2(O[C@@]3(O[C@@](O[C@]1(C3)C)(C2)C)C)C)c1c(OC)cc(OC)cc1.P1([C@@]2(O[C@]3(O[C@](O[C@@]1(C3)C)(C2)C)C)C)c1c(OC)cc(OC)cc1,3.44
4501134,N(C1=C(NCc2ncccc2)C(=O)C1=O)Cc1ncccc1,2.1
7150613,Brc1c2C=Cc3c(Br)ccc(cc1)c23,2.08
7154441,n1cccc2cc(n(c12)c1ccc(OC)cc1)c1ccccc1,2.89
2241009,Clc1cc2c(=O)c(coc2cc1Cl)C=O,2.38
2002921,Oc1ccc2c(c1)ccc(c2)O.Nc1ccc(cc1)N,2.68
2231288,[O-]C(=O)CC(=O)O.[NH3+]c1ccccc1N,3.48
4030463,ClC(Cl)(Cl)COS(=O)(=O)N1C2(CC(CC1)c1ccccc1)CCCC2,3.92
7208802,[O-]C(N)=C(C#N)C#N.[NH2+]=C(N)N,3.74
2002928,Cc1ccc2c(c1)ccc(c2)C,2.69
1544226,C(=O)(N)N,5.87
4031912,CCOC(=O)C(C1c2cc(c(cc2c2cc3c(c(c12)C)cccc3)OC)OC)C(=O)OCC,2.55
4026117,c1(cccc[nH+]1)C[Se]c1ccccc1.c1([O-])c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1.74
4022962,O=N(=O)c1ccc(N=NN=C2N(c3ccccc3N2C)C)cc1.C(Cl)(Cl)Cl,1.57
4081091,c1(cc2ccccc2cc1)/N=C(\C)/C(=N/c1cc2ccccc2cc1)C,2.28
1543084,[Fe]12345678([cH]9[cH]4[cH]3[cH]2[cH]19)[cH]1[cH]5[cH]6[cH]7[c]81CC1(C(=O)OC(OC1=O)(C)C)CC#C,2.72
7217856,O=C([O-])[C@@H]([NH2+]C(C)C)C(C)C,5.01
7150493,c1(cccc[nH+]1)Nc1ccc(cc1)Nc1cccc[nH+]1.c1(ccc(cc1)C(=O)[O-])C(=O)[O-],2.55
2105026,COC(=O)C(=O)OC,3.15
4501872,C1CN(CCCNC(=S)NCc2ccccc2)CCN1CCCNC(=S)NCc1ccccc1,3.26
2012015,OC1=CC(=O)C(=CC1=O)O.Oc1cc(O)c(cc1O)O,0.714
2105154,O=C([O-])C(C)[NH3+],5.36
4066153,C/C(=N\c1c(cccc1C)C)N1C2N(C=C1)C(C)=[N](c1c(cccc1C)C)[Cu]13=2[I][Cu]23(=C3N(C=CN3/C(=N/c3c(cccc3C)C)C)C(C)=[N]2c2c(cccc2C)C)[I]1.C(Cl)Cl.C(Cl)Cl,1.51
1503287,O=C1N(C(=C2C=C[C@H](c3ccccc3)C[C@@]12C)c1ccc(cc1)C)c1ccc(OC)cc1.O=C1N(C(=C2C=C[C@@H](c3ccccc3)C[C@]12C)c1ccc(cc1)C)c1ccc(OC)cc1,2.61
2217066,c1n(cc[nH+]1)CCCCn1c[nH+]cc1.N(=O)(=O)[O-].N(=O)(=O)[O-],3.29
7152098,c1(c2c(cc(cc2)N(=O)=O)C)c2COc3c(cccc3)n2nc1C(=O)OCC,2.03
7108585,c1(cc(cc(c1)/C=N/O)/C=N/O)/C=N/O,2.53
7152770,N1(C(=O)NC(=O)C=C1)[C@H]1[C@H](O)[C@@H](F)[C@H](O1)CO,3.53
2237792,CC1(C)CCC[C@@]2([C@]3([C@@H]1[C@@H]1C([C@]1(C)CC3)(Cl)Cl)C2(Br)Br)C,4.06
4026481,o1c(nn(c1=O)C)c1ccccc1,2.82
4103002,[C@@H]1(C(=C)CC[C@@H]2[C@]3(CCCC([C@@H]3CC[C@]2(C1)C)(C)C)C)O,4.68
4505427,C1(=O)C(C)(C)NC(=O)C(C)(C)N1,4.62
4077325,[Os]12([Os]([Os]1([S](C)CC[P]2(c1ccccc1)c1ccccc1)(C#[O])(C#[O])C#[O])(C#[O])(C#[O])(C#[O])C#[O])(C#[O])(C#[O])C#[O],2.66
2018216,CCOc1cc(C(=O)O)c(cc1C(=O)O)OCC,2.28
4506224,Oc1c(ccc(N)c1)C(=O)[O-].[NH4+],1.54
7202449,C1([NH3+])CCC(CC1)[NH3+].[Cl-].[Cl-],5.48
2206059,O=C(/C=C/c1c(O)cccc1)C,2.54
2216631,O(C(=O)c1ccc(cc1)C)C[C@@H]1[C@@H](OC(=O)c2ccc(C)cc2)C[C@H](n2cncc2)O1,3.25
2202988,O1C2=C(C(=O)CC(C2)(C)C)C(CC1=O)c1cc2OCOc2cc1,2.29
4026399,C(C)(C)(C)OC(=O)[C@H]1[C@H]([C@@H](CCc2ccccc2)O)O1,4.54
7203243,C(=O)(CCCCCCCCCCCC)O.c1nccnc1.C(=O)(CCCCCCCCCCCC)O,3.18
2104164,C(=O)([C@H](CCC(=O)N)[NH3+])[O-],4.64
7007105,[BH]1234[BH]567[C]891(Br)[BH]1%10%11[BH]%1238[BH]38%10[BH]%10%131[BH]16([BH]625[BH]4%123[C]8%1316Br)[BH]79%11%10,4.34
4024377,O=C(CCCCC)c1ccc(B2OCC(CO2)(C)C)cc1,2.86
4079067,[Fe]12345678([c]9(Br)[c]1([cH]2[cH]3[cH]49)[C@@H]1O[C@@H](CCO1)COC)[cH]1[cH]5[cH]6[cH]7[cH]81,2.79
4068625,[Ru]12345678([c]9(/C=C/C=C/C=C/%10C(=O)N(C(=S)N(C%10=O)CC)CC)[cH]1[cH]2[cH]3[cH]49)[cH]1[cH]5[cH]6[cH]7[cH]81,1.24
4026779,[B]1(F)(F)[n]2c(Br)c(c(c2=C(c2c(c(c(n12)Br)Br)Br)c1ccccc1)Br)Br,1.55
4026906,Brc1ccc(cc1)C(=O)[C@H]1[C@H](c2ccccc2)NC(=O)O1,2.99
4031487,S=C1NN=C(c2ccc(cc2)Cl)N1c1ccc(Cl)cc1,2.79
2208099,OCc1cccc(c1)OCCCCOc1cccc(c1)CO,4.09
2226473,Brc1ncc(cc1)c1nc2n(c1)ccnc2C,2.76
4113548,S(=O)(=O)([C@]12[C@@H]3CC=C[C@@](CC1=O)(C)[C@H]23)c1c(cc(C)cc1C)C,3.34
4029912,O=c1oc(cc2O[C@@H]3OCC[C@@H]3Cc12)C.O=c1oc(cc2O[C@H]3OCC[C@H]3Cc12)C,3.34
7208127,n1cccc2CCc3c([nH]nc3C(F)(F)F)c12,3.11
1504992,O=C1CC(CC[C@H]1[C@H]1C(=O)CC(CC1)(C)C)(C)C.O=C1CC(CC[C@@H]1[C@@H]1C(=O)CC(CC1)(C)C)(C)C,3.75
2231851,O=P1(c2c(c3c(cc2)cccc3)c2c1ccc1c2cccc1)c1ccccc1,2.25
4024835,SC[C@@H](C(=O)O)NC(=O)c1ccc2ccccc2c1,2.74
7154446,ClC(Cl)C(=O)c1n(ccc1)C,2.95
4022776,O1[C@@H]2CN3[C@@H]([C@@H]2OC1(C)C)[C@H]([C@H](CC3=O)C(=O)OC)C(=O)OC,4.52
7153083,N1(C[C@@H](N2[C@@H](C[C@H]([C@@H]12)C(=O)OC)C(=O)OC(C)(C)C)c1ccccc1)Cc1ccccc1,3.12
7213591,C(=C(\C=O)Br)/O,2.9
4084978,[Ga]1([P](c2ccccc2)(c2c3c4c(ccc13)CCc4cc2)c1ccccc1)(Cl)Cl,2.96
2226595,O=C(OCC)C1=C(N(C(=O)NC1c1ccnc2ccccc12)C)C,2.59
4328436,[CH]1234[CH]567[B]891(I)[BH]1%102[BH]2%113[BH]345[B]45%11([BH]%11%102[BH]291[BH]168[BH]734[BH]5%1121)I,3.91
1503848,O=C(NCc1ccccc1)C(C)C,3.9
4074870,[Pt]1(Cl)(Cl)[P]([C@@]23O[C@@H](C[C@H]2[P]1(c1ccccc1)c1ccccc1)CC3)(c1ccccc1)c1ccccc1,3.24
2204193,o1nc(nc1COc1ccccc1CC(=O)OC)c1ccccc1,3.14
7213703,N(C(=O)c1ccccc1)c1ccccc1,3.36
1506380,Ic1ccc(C(=O)O)cc1,2.77
2000925,N#Cc1ccccc1C(=O)c1ccccc1,2.85
7204795,c1(c(cccc1)C(=O)O)/N=N/c1ccc(cc1)N(C)C.c1(cc(N(=O)=O)cc(N(=O)=O)c1)C(=O)O,0.497
7002421,c1c2C(=O)NNC(=O)c2cc2c1C(=O)NNC2=O,2.43
2001949,OC(=O)c1cc(cc(c1C(=O)O)C(=O)O)C(=O)O.O.O,3.37
1507111,FC1(F)[C@H](O)[C@@H](O)[C@@H]2O[C@@]1(N)[C@H](OC(=O)N(CC)CC)C(C)(C)C2.FC1(F)[C@@H](O)[C@H](O)[C@H]2O[C@]1(N)[C@@H](OC(=O)N(CC)CC)C(C)(C)C2,5.07
4026151,F[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(=O)[O-].[NH4+],5.44
7152813,Brc1cc(Br)cc2c1OC(=C(C2C(C(=O)OCC)C(=O)OCC)C#N)N,3.12
2104853,N12C(=O)[C@H](NC(=O)[C@@H]1CCC2)Cc1ccccc1,4.39
1505202,Oc1cc(O)cc(O)c1.n1ccc(cc1)C#N.n1ccc(cc1)C#N.n1ccc(cc1)C#N,1.88
7226354,C1=C[C@](Oc2c(cc3c4ccccc4n(c3c12)C=O)C)(C)CCC=C(C)C,2.67
7114937,C[N]1(C)[BH2][N]([BH2]1)(C)C,5.85
4101760,[BH]123[BH]456[BH]789[BH]%10%114[BH]4%127[BH]7%13%10[BH]25%11[BH]237[BH]351[BH]84([BH]%12%1323)[C]5([C]69C)C,3.44
2227613,O=C(N/N=C\1C([C@@H](N[C@@H](C1)c1ccccc1)c1ccccc1)(C)C)c1ccncc1.O=C(N/N=C\1C([C@H](N[C@H](C1)c1ccccc1)c1ccccc1)(C)C)c1ccncc1,2.68
2232626,c1cccc2c1c(c[nH]2)/C=C/C(=O)OC,2.76
4505019,[NH3+][C@H]1[C@H](CCCCCC1)C(=O)[O-].[NH3+][C@@H]1[C@@H](CCCCCC1)C(=O)[O-],4.91
7150882,C(C)(C)(C)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](CC(C)C)NC(=O)NC,4.62
4028474,Ic1c(c2cc(Cl)ncc2Br)c(Br)cnc1Cl,3.0
2105148,O=C([O-])C(C)[NH3+],5.21
2222693,Brc1nc(Nc2ccccc2)c(N)nc1,2.58
4501614,C(=O)([O-])[C@@H]([NH2+]Cc1ncccc1)C,3.08
7151471,c1(c(c(n(C)[nH+]1)O)C)c1ccccc1.[Cl-],3.1
2228719,O=C(c1ccc(cc1)C(=O)Nc1ccccn1)Nc1ccccn1,3.11
7054651,c1(n(ccn1)Cc1ccncc1)c1n(ccn1)Cc1ccncc1.C(=O)(CCCC(=O)O)O.C(=O)(CCCC(=O)O)O,3.03
2009176,OC(C#N)C(=O)NC,4.96
4023198,O=C1N(Cc2ccccc2)[C@@H](C(=O)N[C@@H]1CC(=O)OCC=C)CO,4.44
4508470,O=C(Oc1cc(OC)ccc1)Nc1ncccc1,3.35
2002968,[C]#[N]CC(F)(F)F,6.48
1516414,O=C(O)c1c[nH]ccc1=O,3.22
4111364,C1(=O)C2C3(CCC(=O)C3C2(CC1)C)C,3.16
1502611,O1C(=O)C(=C)[C@@H]2CCC=C3CC(=O)C(=C3[C@@H]12)C.O1C(=O)C(=C)[C@H]2CCC=C3CC(=O)C(=C3[C@H]12)C,2.84
2000989,Oc1cccc(c1c1cc2ccccc2c(=O)o1)O,2.69
2216330,OC(C(=O)O)(C1CC1)C1CC1,5.02
2219275,O=C(NN)C(=N\NC(=O)C)/c1ccccc1,3.01
2210071,O(C(=O)c1c2n(cc(cc2)C(=O)OC)cc1)C,2.54
2018241,C1(=O)NC(=O)c2c(N1)[nH+]c[nH]2.N(=O)(=O)[O-].O,2.52
4026850,O(c1nccc2[C@](OC(=O)c12)([C@@H]1OC(OC1)(C)C)CC)C,3.55
4086129,C[Si](C)(O)c1ccc2c3c(ccc(P(=O)(c4ccccc4)c4ccccc4)c13)CC2,2.88
2201994,Clc1ccc(C(=O)c2ccc(OC(C(=O)OC(C)C)(C)C)cc2)cc1,2.85
7154414,c1ccccc1c1c2c(c3ccccc3c1c1ccccc1)nc1ccccn21.C(Cl)(Cl)Cl,2.57
4512893,[O-]C(=O)C[NH3+],5.25
7219790,C(=N\c1c(cccc1F)F)/c1cc(c(cc1)F)F,2.52
7150049,c1nc2ccccc2c(n1)c1ncnc2ccccc12,2.29
2206851,[U]12(=O)([OH2])(=O)(OC(=[O]1)C)([OH2])OC(=[O]2)C.O=C(C)O.C(=O)(C)O,2.41
2103309,[O-]C(=O)C[NH3+],5.04
8100045,N1=C(OCC1)c1cc(ccc1)C1=NCCO1,3.33
2300236,CC(=O)Nc1ccc(cc1)O,3.58
2012569,O=C1CC(CCC1)CC(=O)O,3.77
2011397,Clc1c(c(Cl)cc(Cl)c1)C#N,3.39
4022252,C1(=O)N(C(=O)N2N1C=C2)C,4.06
7152124,F[C@@H]1O[C@H]2[C@H]3O[C@H]3[C@@H]1OC2,5.81
2208049,c1(cc(c(cc1)C#N)C#N)Oc1ccc(cc1)OCCCCCCC,2.34
4078037,c1(cccc2cccc(c12)CO)O,2.76
7109189,C[Si](C)(C#Cc1c2cccc3c2c(c2cccc4c(C#C[Si](C)(C)C)cc3c24)c1)C,1.07
4029873,n1(c(c(c(c2c1nc1c2cccc1)C(=O)c1ccccc1)C(=O)OC)C(=O)OC)c1ccc(cc1)C,2.12
7029332,[BH]1234[BH]567[BH]89%10[BH]%11%12%13[CH]379[CH]34%11[BH]471[B]125([BH]268[BH]5%10%12[BH]%1334[BH]7125)c1ccc([B]2345[BH]678[BH]9%102[BH]2%11%12[BH]%13%14%15[CH]7%10%11[CH]78%13[BH]836[BH]3%157[BH]6%12%14[BH]492[BH]5836)cc1,4.35
7050066,S=C(n1nc(cc1C)C)N,2.58
7223879,C(#N)c1c(C#N)ccc(c1)Oc1cccc(c1)Oc1ccc(C#N)c(C#N)c1,2.63
7103910,Oc1ccc(NC(=O)C)cc1.OC,3.44
4509232,[Ti]12345678(Cl)(Cl)([c]9([cH]1[cH]2[cH]3[cH]49)C(C)(C)C)[c]1([cH]5[cH]6[cH]7[cH]81)C(C)(C)C,2.07
2219765,[Cl-].[Cl-].[nH+]1ccc(cc1)C[NH3+],2.28
2219506,c1(C)nnc(C)n1N.c1(C)nnc(C)n1N.O.O.O,5.42
2216348,Oc1c(cccc1)/C=N/NC(=O)Cn1nnc2c1cccc2,2.81
2217954,O=C1NC(=CC(=O)N1)C(=O)O.O,2.7
2012951,NNC(=O)CCn1ccnc1c1nccn1CCC(=O)NN,3.38
2205421,Oc1c(O)c(ccc1)/C=N/NC(=O)c1occc1,2.5
7111221,c1scc2[C@@H](O)[C@@H](O)CCc12,4.08
7151677,Brc1ccc(cc1)/C=C(C(=O)C)\CN1C(=O)CN(C)C1=O,2.95
7209814,Brc1ccc(cc1)/C=C/C(=O)O,2.45
4025850,O(C[C@H]1N(C[C@@H](O)[C@@H]([C@@H]1OCc1ccccc1)O)[C@@H](c1cccc2c1cccc2)C)C(=O)C,2.81
4072937,C(C(=O)C(C)(C)C)[Te](c1c(cc(cc1C)C)C)(Br)Br,3.16
7117023,c1(N(=O)=O)n[nH]c2c(N(=O)=O)n[nH]c12.c1nc(n[nH]1)N.c1nc(n[nH]1)N,1.28
