Compound ID,InChIKey,SMILES,logS,logP,MW
C1298,SMWDFEZZVXVKRB-UHFFFAOYSA-N,c1ccc2c(c1)nccc2,-1.3,2.2348,129.159
C9670,YDLSUFFXJYEVHW-UHFFFAOYSA-N,O=C1CCCCCCCN1,0.632881438,1.7856,141.211
C8065,WZHVLILJVZZLNS-UHFFFAOYSA-N,CCC(=O)N1CCN(CC1)C,-1.302224195,0.0462,156.225
C1759,UBDWKOZBPSKHMO-UHFFFAOYSA-N,CCC(C(c1ccc(cc1)OCCN(CC)CC)CC)c1ccc(cc1)OCCN(CC)CC,-10.25096331,6.8152,468.714
C5175,XOVPZXXZORJJCG-UHFFFAOYSA-N,CCc1ccc(nc1)c1nc2c([nH]1)cccc2,-3.262488067,3.1873,223.273
C2215,QTRALMGDQMIVFF-UHFFFAOYSA-N,CCOCCN(C(=O)C(Cl)Cl)Cc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-],-6.448866965,5.0791,427.278
C578,XSIFPSYPOVKYCO-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1,-3.48,2.6435,178.228
C8132,WREVVZMUNPAPOV-UHFFFAOYSA-N,Nc1cccc2c1nccc2,-1.244235554,2.3982,144.173
C2311,BEHGHYQVNYVAMD-UHFFFAOYSA-N,NC(=O)C(c1cccc2c1cccc2)(CCN1CCCCC1)CCN1CCCCC1,-6.191935004,4.891,407.591
C1576,WBJINCZRORDGAQ-UHFFFAOYSA-N,CCOC=O,0.15000001,0.8152,74.0785
C6929,QAJQUUOBVOKLOD-UHFFFAOYSA-N,OC(=O)CCC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,-2.135674641,3.6399,348.374
C5544,QYCSNMDOZNUZIT-UHFFFAOYSA-N,NN=C(c1ccccc1)c1ccccc1,-3.015436352,3.098,196.248
C5264,BDDYLBIKOCDHKY-UHFFFAOYSA-N,O1CCN(CC1)[NH2+]CCOC(c1ccccc1)c1ccccc1.[Cl-],-3.194360007,-1.4549,348.867
C7965,YXNTXDQIDINLRU-UHFFFAOYSA-N,CNC(CC(=O)c1ccccc1)(C)C.Cl,-1.398382649,3.4503,227.73
C3743,WPWZGEGFOHKFHG-UHFFFAOYSA-M,CC[N+](CCOC(=O)C1c2ccccc2Oc2c1cccc2)(CC)C.[Cl-],-4.300906401,0.9578,375.889
C3376,HCYNFJPPJJUYAN-UHFFFAOYSA-M,CCC(=O)Oc1ccc(cc1)CCCC[N+]1(C)CCCCC1.[I-],-4.657571644,0.918,431.351
C6298,PUSJAEJRDNPYKM-UHFFFAOYSA-N,Cc1sc(c(c1)C(=O)C)C,-2.536882425,2.5675,154.229
C1421,UUIQMZJEGPQKFD-UHFFFAOYSA-N,CCCC(=O)OC,-0.81999999,0.9595,102.132
C3076,NEYNJQRKHLUJRU-DZUOILHNSA-N,CSCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CCNC(=O)OC(C)(C)C,-5.015251515,4.175,767.891
C2709,ITJJTERMXJOUEE-UHFFFAOYSA-N,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(c1)oc(cc2=O)c1ccccc1,-5.496299666,3.3438,426.416
C7198,JIWCNPTXYLRLIE-UHFFFAOYSA-N,Cc1ccc2c(c1)nc(o2)N,-1.961230582,2.2996,148.162
C2567,KRTPZDITOONUEW-UHFFFAOYSA-N,CCC(C(=O)OCC(Br)(Br)Br)CC,-5.716895887,3.8043,380.9
C754,WYKYKTKDBLFHCY-UHFFFAOYSA-N,Nc1cnn(c(=O)c1Cl)c1ccccc1,-2.8699999,2.0493,221.643
C3339,JMHSMFKQKRUZBH-UHFFFAOYSA-N,CCCN1CCC(CC1)OC(=O)Nc1c(C)cccc1Cl,-4.689054621,4.0822,310.819
C4843,MCRZDGWCWKQOMX-UHFFFAOYSA-N,CCCC(COC(=O)N)(COC(=O)Nc1ccco1)C,-3.506361484,3.5031,284.308
C7521,CHXQMYIAXRURDN-UHFFFAOYSA-N,NNC(Cc1cc(OC)c(c(c1)OC)OC)C,-1.724660973,2.1979,240.299
C5795,TWUSOZWGHHLYHF-UHFFFAOYSA-N,OC(CN1CCC(CC1)(O)c1ccccc1)COc1cccc(c1)C(=O)C,-2.853238842,2.5504,369.454
C491,WHTBVLXUSXVMEV-UHFFFAOYSA-N,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c1ccccc1,-3.8,5.3239,379.375
C812,TXTORVZCRUFBBO-BYPYZUCNSA-N,C[C@@H](C(Cl)(C)C)Cl,-2.6900001,2.6311,141.039
C175,RIZMRRKBZQXFOY-UHFFFAOYSA-N,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,6.3065,384.476
C9386,XAEQXKDZYYQGHE-UHFFFAOYSA-L,C[N+](CCOCC[N+]1(C)CCCC1)(C)C.[I-].[I-],0.327737686,-5.0836,470.172
C677,HJUGFYREWKUQJT-UHFFFAOYSA-N,BrC(Br)(Br)Br,-3.1400001,3.1773,331.627
C4071,YYUAYBYLJSNDCX-UHFFFAOYSA-N,Cc1onc(c1)NC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,-4.062032571,2.5741,335.335
C7057,JRWQAQZBEVDDQC-UHFFFAOYSA-N,Clc1ccc(cc1)N1C(=S)SCC1=O,-2.05648276,2.7697,243.733
C6174,LOKBBQTULLXLQG-UHFFFAOYSA-N,CC(CCC(COC(=O)N)(COC(=O)N)C)C,-2.6126023,3.0201,246.303
C1083,LOIYMIARKYCTBW-OWOJBTEDSA-N,OC(=O)/C=C/c1c[nH]cn1,-1.96,0.5075,138.124
C9270,PCGWRXYZXVZXIN-UHFFFAOYSA-L,CC[N+](CCOc1ccc(cc1)OCC[N+](CC)(C)C)(C)C.[I-].[I-],0.248496861,-3.3552,564.284
C3476,KIPHMBBVOUZELO-BHRDPBMWSA-N,C=CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)OC(=O)N(C)C)CCCC2.Br,-4.556109049,4.8874,435.398
C9396,LPJSRZKKOQXIBO-UHFFFAOYSA-L,CC[N+](CCCCCCC[N+](CC)(CC)CC)(CC)CC.[Br-].[Br-],0.336880721,-1.3021,460.374
C2575,ODMDVXBFLZLMOV-UHFFFAOYSA-N,O=CC(c1ccc2c(c1)ccc1c2cccc1)C,-5.701382665,4.2954,234.292
C3177,DTRYRQSAXWHXNC-UHFFFAOYSA-N,CCN(CCNC(=O)COc1c(ccc(c1C(=O)OC)C)C(C)C)CC,-4.889582982,3.1327,364.479
C2920,WBJWBGGFIDYPPO-UHFFFAOYSA-N,COc1ccc2c(c1)n(CC[NH+](C)C)c1c2ccc(c1)Cl.[Cl-],-5.198094211,-0.395,339.259
C9227,SUPLROXPVQPDDY-UHFFFAOYSA-N,FCCNCCF.Br,0.179055158,1.864,190.03
C8418,VNGUYOQHHPRKLZ-UHFFFAOYSA-N,COc1c(cccc1OC)CC(N)C.Cl,-0.963562979,3.0958,231.719
C5888,VRHAQNTWKSVEEC-UHFFFAOYSA-N,CCOC(=O)N1C(=O)c2c(C1=O)cccc2,-2.786828304,1.377,219.193
C1744,WWVAPFRKZMUPHZ-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-11.20897751,6.2804,1287.92
C1204,AWMVMTVKBNGEAK-QMMMGPOBSA-N,O1C[C@H]1c1ccccc1,-1.6,1.7579,120.149
C8468,SXCBDZAEHILGLM-UHFFFAOYSA-N,OCCCCCCCO,-0.927838407,0.9215,132.201
C431,FAOZLTXFLGPHNG-JQJXMUTFSA-N,O=C1C=C[C@]2(C(=C1)[C@@H](C)C[C@@H]1[C@]2(F)[C@H](O)C[C@]2([C@H]1CC[C@]2(O)C(=O)C)C)C,-4.0999999,2.9233,376.462
C1247,VIUDTWATMPPKEL-UHFFFAOYSA-N,Nc1cccc(c1)C(F)(F)F,-1.47,2.8688,161.124
C8756,LSBDFXRDZJMBSC-UHFFFAOYSA-N,NC(=O)Cc1ccccc1,-0.572278879,1.4147,135.163
C7267,GAMSVHKCGRVPPR-UHFFFAOYSA-N,CN(CCC(c1ccccc1)(C(=O)N)CCN(C)C)C,-1.91678595,2.0134,277.405
C4903,WRLTVIOYEHUKMB-UHFFFAOYSA-N,COc1cc(ccc1OC)C1CCC2N(C1)CCCC2.Cl,-3.452553077,4.1756,311.847
C3444,UXMTUUFYPGQFAE-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(C(=O)O)N)cn2Cc1ccccc1,-4.587810051,3.3529,324.374
C9403,BKQCNUPZIBYHSN-UHFFFAOYSA-N,OCCC/N=C(/CSS(=O)(=O)O)\N,0.343960751,1.0431,228.29
C8610,XCYWUZHUTJDTGS-UHFFFAOYSA-N,COC1CCC=CO1,-0.783295238,1.283,114.142
C3470,SPEPGZNZGOJPCA-HPJBNNNXSA-N,COc1cc(/C=C/C(=O)CCN2CCN(CC2)c2ccc(cc2)Cl)cc(c1OC)OC.Cl.O,-4.56493484,4.901,499.427
C7461,AJQMCEMSWCGRRN-YFKPBYRVSA-N,ClCCN(C(=O)N[C@H](C(=O)O)CCC(=O)O)N=O,-1.766841403,0.6271,281.65
C9455,DFPHFJOBKOEGQC-UHFFFAOYSA-L,CC[N+](CCOCC[N+]1(CC)CCOCC1)(C)C.[Br-].[Br-],0.376512936,-5.067,420.224
C3547,RCIYVNBEFCDGSS-UHFFFAOYSA-N,CN(CCCN1Cc2ccccc2Cc2c1cccc2)C.Cl,-4.483851883,4.4161,316.868
C1592,HPYNZHMRTTWQTB-UHFFFAOYSA-N,Cc1ncccc1C,0.38,1.6984,107.153
C5259,STMCRUBVLOKMKB-UHFFFAOYSA-N,CN1CCC(CC1)NCC1CCC(CC1)CNC1CCN(CC1)C,-3.196659036,2.818,336.558
C1365,HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,-1.0599999,1.2451,64.5141
C9755,KDFBGNBTTMPNIG-UHFFFAOYSA-N,NCCc1c[nH]c2c1cccc2.Cl,0.698797757,3.1714,196.677
C3513,OFPXSFXSNFPTHF-UHFFFAOYSA-N,OC(=O)CCc1nc(c(o1)c1ccccc1)c1ccccc1,-4.522664589,4.0258,293.317
C3301,CRWUUOBIPYBVKP-UHFFFAOYSA-M,ClCCN(c1cc(ccc1C)C(=O)[O-])CCCl.[Na+],-4.740419518,1.6425,298.141
C3284,ROHRQKMUJHLVRA-UHFFFAOYSA-N,O=C(Nc1cccc2c1cccc2)OCCCN1CCCCC1C,-4.752627556,4.6637,326.433
C8684,OEZZFHANQAGLDU-UHFFFAOYSA-N,COC(c1ccccc1)CN(C)C,-0.69478209,1.9357,179.259
C2001,UBGHFEFTDIQMFK-UHFFFAOYSA-N,Clc1ccccc1CNCC1CCC21CCC2CNCc1ccccc1Cl.Cl.Cl,-7.159373033,8.065,476.31
C2467,HOKDBMAJZXIPGC-UHFFFAOYSA-N,c1ccc2c(c1)N(CC1CN3CCC1CC3)c1c(S2)cccc1,-5.887624842,4.634,322.467
C7627,VSFUHUUDMVNIRO-UHFFFAOYSA-N,CN1C(=O)NC2(C1=O)CCCCC2,-1.640467161,1.1376,182.22
C1202,ZQEIXNIJLIKNTD-GFCCVEGCSA-N,COCC(=O)N(c1c(C)cccc1C)[C@@H](C(=O)OC)C,-1.6,1.8443,279.332
C7954,AAYHAFZXFMIUSN-UHFFFAOYSA-N,NS(=O)(=O)C1CCCCC1,-1.413472734,2.3887,163.238
C4766,JDGBARYFQADTHZ-KCWPWBDNSA-M,C=CC1C[N+]2(C)CCC1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O.[Cl-],-3.565325694,0.2806,374.904
C929,ZRIHAIZYIMGOAB-ZCFIWIBFSA-N,CC[C@H](C1(CC)C(=O)NC(=O)NC1=O)C,-2.3900001,1.4525,212.246
C9009,DGIAUNUPXILTJW-VRWDCWMNSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,-0.184747346,1.0594,1530.19
C282,AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2ccccc2cc2c1cccc2,-4.73,3.6986,194.229
C2869,NXNSCUZKMVYAJQ-UHFFFAOYSA-N,CC(NCCCC1(C(=O)N)c2ccccc2c2c1cccc2)C.Cl,-5.263513938,5.1098,344.878
C6497,XMMRNCHTDONGRJ-ZZXKWVIFSA-N,OC(=O)/C=C/c1ccc(cc1)[N+](=O)[O-],-2.415508795,2.2158,193.156
C2628,OMHUKXIIJPBUIP-FJUODKGNSA-N,CN(CC/C=C/1\c2ccccc2Sc2c1cc(F)cc2)C.Br,-5.603798043,5.6318,380.318
C3767,ROEBJVHPINPMKL-UHFFFAOYSA-N,CCN(Cc1cc(ccc1O)Nc1ccnc2c1ccc(c2)Cl)CC.Cl.Cl,-4.274301709,6.8562,428.783
C4949,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,O=c1oc2ccccc2c(c1Cc1c(=O)oc2c(c1O)cccc2)O,-3.420194735,2.9014,336.295
C4410,LJDVATIOWGCFIY-UHFFFAOYSA-N,CC1CCN(CC1)C(CCOC(=O)c1ccccc1)C,-3.79847721,3.2918,275.386
C6874,SBMSBQOMJGZBRY-UHFFFAOYSA-N,CCC(=O)c1ccc(c(c1)OC)OC,-2.164464669,2.2965,194.227
C5873,FRLNZMQBNCIHJM-UHFFFAOYSA-N,CCc1csc(n1)[N-]S(=O)(=O)c1ccc(cc1)N.[Na+],-2.796372427,4.3438,305.352
C8081,MYKLQMNSFPAPLZ-UHFFFAOYSA-N,CC1=CC(=O)C(=CC1=O)C,-1.288299596,1.0308,136.148
C2076,BWHXHUIEBAPNLG-UHFFFAOYSA-N,Clc1ccccc1C[NH2+]CC12CCC(CC1)(CC2)C[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-6.878247321,-1.831,490.336
C2705,VZWXXKDFACOXNT-UHFFFAOYSA-N,CCCOCCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+](=O)[O-])C(=O)OCCOCCC)C,-5.500354247,4.6212,490.546
C9590,TVKWFYUSFZSPTC-UHFFFAOYSA-N,CC[N+](c1cccc(c1)O)(CC)CC.[Br-],0.561929382,-0.2368,274.197
C4359,UZGWBNJMOBHHIU-UHFFFAOYSA-N,N#Cc1ccc2c(c1)c(N)c1c(n2)cccc1,-3.83850652,3.42308,219.241
C1935,RHNRLUFRIWVFOF-UHFFFAOYSA-N,CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C.Cl,-7.560620848,7.0997,429.038
C741,NAYYNDKKHOIIOD-UHFFFAOYSA-N,NC(=O)c1ccccc1C(=O)N,-2.9200001,1.285,164.161
C7187,CKICBBJJCUQLPO-UHFFFAOYSA-N,O=C1OCC2(C1)CCCCC2,-1.970625777,1.8838,154.206
C8379,RQWQIVXLPCFXCO-OWOJBTEDSA-N,OCN(c1ncc(nn1)/C=C/c1ccc(o1)[N+](=O)[O-])CO,-0.997399729,0.7724,293.236
C207,SBNFWQZLDJGRLK-LEWJYISDSA-N,CC(=C[C@H]1[C@@H](C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,-5.2399998,5.7605,350.451
C8264,XGYICSXQOIEICF-UHFFFAOYSA-N,O=c1[nH]c2c(o1)cc(c(c2)Cl)N,-1.123167465,1.9379,184.58
C3782,WRXSODAXJSKMAW-UHFFFAOYSA-N,CS(=O)(=O)O.CS(=O)(=O)O.NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N,-4.261040335,5.6525,532.631
C30,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3,-8.1899996,5.7372,252.309
C6986,JFLIEFSWGNOPJJ-JTQLQIEISA-N,O=C(Cc1ccccc1)N[C@H](C(=O)O)CCC(=O)N,-2.095730097,1.1552,264.277
C5945,HYPPXZBJBPSRLK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCC(c1ccccc1)(c1ccccc1)C#N)c1ccccc1,-2.752622634,5.42118,452.587
C4287,OXSRKPVVVMMMER-UHFFFAOYSA-N,CCCC1OC(CCC)OC(O1)CCC,-3.889494479,3.4284,216.317
C4997,QLKCCGLEUFIVEC-UHFFFAOYSA-N,CN(CCCC1(NCCc2c1cccc2)c1ccccc1)C,-3.389818498,3.7465,294.434
C1518,QGBSISYHAICWAH-UHFFFAOYSA-N,N#CN=C(N)N,-0.31,0.14148,84.08
C358,DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4000001,3.6004,278.343
C5897,PPCNBCKABHGVMX-OWOJBTEDSA-N,N#C/C=C/c1ccc(cc1)Cl,-2.780824627,2.87678,163.604
C8108,JIOZHSSMPMWZQB-UHFFFAOYSA-N,O=C(c1ccc2c(c1)OCO2)N1CCOCC1,-1.260919614,0.8256,235.236
C8109,PGNKBEARDDELNB-UHFFFAOYSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O.CCN(C(=O)N1CCN(CC1)C)CC,-1.260205651,-0.6771,391.417
C8614,ZZPKZRHERLGEKA-UHFFFAOYSA-N,CC(=O)Oc1cccc(c1)O,-0.782076614,1.3175,152.147
C3131,YLCXGBZIZBEVPZ-UHFFFAOYSA-N,Clc1ccc2c(c1)C(=NCCN2C)c1ccccc1,-4.941362945,3.1278,270.757
C5546,YGRSFVUXNRPCJA-UHFFFAOYSA-N,[O-][N+](=O)c1ncc(n1C)CCCC,-3.014978279,2.1941,183.208
C4814,QHXLVTODHKJVJK-ZTMWJVNESA-N,O[C@H]([C@H](C(=O)O)O)C(=O)O.CC(=O)Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)C,-3.528878055,1.1154,449.494
C4723,CUCUKLJLRRAKFN-UHFFFAOYSA-N,CC(=O)C1C(=O)C=C2C(C1=O)(C)c1c(O)c(C)c(c(c1O2)C(=O)C)O,-3.590214053,1.4998,344.315
C7168,ANZIOUQAFBXNHU-FYWRMAATSA-N,NC(=NNc1ccc(cc1)/N=N/C(=S)N)N,-1.98187059,2.7881,237.285
C28,TZMHVHLTPWKZCI-UHFFFAOYSA-N,Clc1c(Cl)cc(c(c1Cl)c1ccc(c(c1Cl)Cl)Cl)Cl,-8.3000002,7.9274,395.323
C4546,HNVFEIFBCWEIOW-UHFFFAOYSA-N,CCCCNC(=O)OCC(COC(=O)N)(CC)CC,-3.696383284,3.5056,274.357
C3678,LHNXUEAGNLUMMI-BHLCTJEESA-N,Oc1ccc2c(c1)[C@@]13CCCC[C@@H]3[C@H](C2)N(CC1)CCc1ccco1.Cl,-4.365953969,5.0262,373.916
C6980,LDMWSLGGVTVJPG-UHFFFAOYSA-N,Cc1cc(nnc1NCCN1CCOCC1)c1ccccc1,-2.101872276,2.207,298.383
C2417,DSXBQRQLQMPKOA-XJXJHPFJSA-M,CCC[N+]12CCC(C(C1)C=C)C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O.[Br-],-5.983259519,1.0608,447.408
C6030,GGECDTUJZOXAAR-UHFFFAOYSA-N,CC(NNC(=O)COc1ccc(cc1)Cl)C,-2.695943947,2.5298,242.702
C6957,KPHWPUGNDIVLNH-UHFFFAOYSA-M,[O-]C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],-2.117891517,3.1024,318.13
C7922,AWLILQARPMWUHA-UHFFFAOYSA-M,CCCC(C1(CC)C(=O)NC(=NC1=O)[S-])C.[Na+],-1.437061349,1.1427,264.32
C7633,OWULVAZDMWJBLB-UHFFFAOYSA-N,O=C(Nc1ccccc1)OCC(OC(=O)Nc1ccccc1)CN1CCCCC1.Cl,-1.637422689,5.2242,433.928
C1921,AANKDJLVHZQCFG-KVHNBARJSA-N,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@@H]2N3C[C@H](CC2)C)C)C1)C,-7.695983828,4.5637,413.636
C2092,VYAGDYWTCWDKIS-UHFFFAOYSA-N,CCC(C(=O)O)Oc1c(I)cc(cc1I)I,-6.833160214,3.7424,557.89
C7190,KWILGNNWGSNMPA-UHFFFAOYSA-N,CC1Cc2cccc(c2C(=O)O1)O,-1.969842649,1.4936,178.185
C1502,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,-0.41,1.85,93.1265
C4886,AOPGIPYEZTWCFO-UHFFFAOYSA-M,CCCCCCCC1(C)OC(=O)[N-]C1=O.[Na+],-3.470087925,2.4866,235.255
C8207,OAIXNMHLYQAFPH-UHFFFAOYSA-N,CN(CCOCCCOC(=O)c1ccc(cc1)N)C,-1.17746476,1.9751,266.336
C698,QZXCCPZJCKEPSA-UHFFFAOYSA-N,OC(=O)Cc1c(Cl)ccc(c1Cl)Cl,-3.0799999,3.2739,239.483
C185,OBMLHUPNRURLOK-VHUAIRPZSA-N,O[C@@H]1CC[C@@H]2[C@@]1(C)CC[C@@H]1[C@H]2CC[C@@H]2[C@@]1(C)C[C@@H]1S[C@@H]1C2,-5.4099998,4.4839,306.506
C5221,IHDMJEPWSOHAAL-UHFFFAOYSA-N,CN(CCOC(=O)C(c1ccccc1)c1ccccc1)C.Cl,-3.226164253,3.7253,319.826
C1656,PBMFSQRYOILNGV-UHFFFAOYSA-N,c1ccnnc1,1.1,0.4766,80.088
C1623,UNXHWFMMPAWVPI-ZXZARUISSA-N,OC[C@H]([C@H](CO)O)O,0.69999999,-2.3072,122.12
C1403,YAVYBQFUSWPIQK-UHFFFAOYSA-N,Clc1cnc2c(n1)cncn2,-0.87,1.0732,166.568
C1125,NIJJYAXOARWZEE-UHFFFAOYSA-N,CCCC(C(=O)O)CCC,-1.86,2.2874,144.211
C8713,GDRJMQGTCMCJQV-UHFFFAOYSA-N,CCN1CCCN(C1=S)CC,-0.649672741,1.1946,172.291
C82,SDOJHDGZFOGOFD-UHFFFAOYSA-N,Cc1c2ccccc2c2c(c1C)c1ccccc1cc2,-7.0100002,5.763,256.341
C6675,LBKPGNUOUPTQKA-UHFFFAOYSA-N,CCOC(=O)Nc1ccccc1,-2.291132302,2.328,165.189
C3999,MBWCTVKYEHQORY-YGICXTQQSA-N,Nc1ccc(cc1)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Cl,-4.110987215,5.5966,398.969
C639,LGYTZKPVOAIUKX-UHFFFAOYSA-N,CC(=O)CCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,-3.27,3.0968,322.358
C1169,IWEDIXLBFLAXBO-UHFFFAOYSA-N,COc1c(Cl)ccc(c1C(=O)O)Cl,-1.7,2.7002,221.037
C9666,HLCFGWHYROZGBI-JJKGCWMISA-M,OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[K+],0.63032967,-4.8278,234.246
C7713,ZGENSUYRNWPOET-UHFFFAOYSA-N,C=CCOCC(Cn1ccnc1[N+](=O)[O-])O,-1.589736348,0.878,227.217
C1982,FYXWDSGGZAMYFZ-UHFFFAOYSA-N,CC[n+]1c(/C=C/C=C/C=c\2/sc3c(n2CC)cccc3)sc2c1cccc2,-7.252366416,5.576,391.572
C6062,LMJSLTNSBFUCMU-UHFFFAOYSA-N,ClC(C1Nc2cc(Cl)c(cc2S(=O)(=O)N1)S(=O)(=O)N)Cl,-2.677423308,4.1497,380.656
C6102,ZGJOXLCSIYUFJN-UHFFFAOYSA-N,CCC(=O)N1C2CCC1CN(C2)CCNc1ccccc1,-2.659156807,2.1325,287.4
C6654,ZGWNXHRVUJVMCP-UHFFFAOYSA-N,OC(=O)C(Oc1ccccc1Cl)C,-2.310700889,2.1919,200.619
C5078,BNPWEZZZLIFSAA-UHFFFAOYSA-N,COC(=O)NC1CCCc2c(C1)c(OC)c(c(c2)OC)OC,-3.326114111,2.7067,309.358
C1761,COQAPWLZSHQTKA-MSDOJSJISA-N,O=C/C(=C\C[C@]12OC([C@H]3[C@]42Oc2c(C(=O)C4=C[C@@H](C1=O)C3)c(O)c1c(c2CC=C(C)C)OC(C=C1)(C)C)(C)C)/C,-10.05037097,5.6271,544.635
C6953,UZVHFVZFNXBMQJ-UHFFFAOYSA-N,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,-2.119282208,1.6186,224.256
C7038,BYJLFUFCSNYZLF-UHFFFAOYSA-N,COc1cc(cc(c1OC)OC)S(=O)(=O)CCN1CCCCC1,-2.062653425,2.9907,343.438
C9304,HAHHOMVBRQUNQK-UHFFFAOYSA-L,CC[N+](CCCOCCC[N+](CC)(CC)C)(CC)C.[I-].[I-],0.277117745,-3.236,528.295
C5867,KXZSVYHFYHTNBI-UHFFFAOYSA-N,S=c1ccc2c([nH]1)cccc2,-2.799184339,2.8974,161.224
C5461,YMUQBPRSTIPGNF-IYPIUBNXSA-N,CN1CC[C@@]2([C@@H]([C@@H]1Cc1c2cccc1)C)C.Br,-3.06342134,3.7366,296.246
C3515,PJSNFIXEOXHFHW-UHFFFAOYSA-L,C[N+]1(CCC[N+]2(C)CCOCC2)CC2CCCC(C1)C2.[I-].[I-],-4.522566543,-3.9545,536.274
C1324,RCFRTWDBBMGLGK-UHFFFAOYSA-N,CCC1(C)C(=O)NC(=O)NC1=O,-1.23,0.4263,170.166
C9576,ZGKNMKBZOSTFCB-UHFFFAOYSA-N,O=c1cc(cc(c(c1)O)O)C(=O)O,0.543073244,0.1562,182.13
C2968,INUNXTSAACVKJS-NRFANRHFSA-N,C[C@H](C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1,-5.145180917,3.4392,392.534
C6104,UUSQFLGKGQEVCM-UHFFFAOYSA-M,CCCCCCCCCCCC[N+](Cc1ccccc1)(CCO)CCO.[Cl-],-2.658464889,1.9129,400.038
C8427,RVGLUKRYMXEQAH-UHFFFAOYSA-N,CC1(C)COC1,-0.955626256,1.0428,86.1323
C9170,RTKIYNMVFMVABJ-UHFFFAOYSA-L,CC[Hg]Sc1ccccc1C(=O)[O-].[Na+],0.091717699,1.5779,404.811
C1824,GMRQFYUYWCNGIN-NKMMMXOESA-N,O[C@H]1C[C@H](O)C(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@@H](CCCC(O)(C)C)C)C)/C1,-8.72489756,5.7047,416.636
C3358,INHPISRLZMRZBK-UHFFFAOYSA-N,COc1cc2CC[NH+](C(c2cc1OC)CCc1cccc(c1)[N+](=O)[O-])C.[Cl-],-4.671534463,1.4531,392.876
C6092,DBNFXLUBBPXNRJ-UHFFFAOYSA-N,O=C(NP(=O)(N1CC1)N1CC1)NC1CC(C)(C)N(C(C1)(C)C)[O],-2.662377157,1.9875,344.37
C5112,SRIJBBUJJSYXHB-UHFFFAOYSA-N,CCC(c1ccccc1)C(=O)OCCN(CC)CC.Cl,-3.303701838,3.8672,299.836
C7618,AGWWTUWTOBEQFE-UHFFFAOYSA-N,Cn1cn[nH]c1=S,-1.649659322,0.4777,115.157
C3672,DSERYMNADDJALG-FOWTUZBSSA-N,CC1=NN(C(=O)/C/1=C/Nc1ccccc1)c1ccccc1,-4.371110146,2.9787,277.321
